ID,IMDB_ID,Budget,Production Companies,Production Countries,Revenue,Runtime,Director
999597,,0,['PWSFTviT'],['Poland'],0,19,Michał Toczek
999599,,0,['Ponk Media'],['United States of America'],0,73,
999601,,0,"['Universidade Lusófona', 'Lusófona Filmes']",['Portugal'],0,0,Mónica Martins
999607,tt18253722,0,[],['Russia'],0,80,Oleg Asadulin
999610,,0,['Warszawska Szkoła Filmowa'],['Poland'],0,27,Eliza Godlewska
999617,tt19893760,0,['Kijora Film'],[],0,27,Tomasz Wolski
999623,,0,"['KION', 'Liho! Production']",['Russia'],0,91,Irina Obidova
999624,tt6105456,0,"['Carte Blanche Films', '14122143 Canada Inc.']",['Canada'],0,85,Michel Kandinsky
999626,,0,"['BBC', 'Atomized Studios', 'Red Bull Studios']","['Somalia', 'United Kingdom']",0,59,Leo Burley
999628,tt15208692,0,['Brainstorm Media'],[],0,90,Terrence Martin
999634,tt10794866,18000000,"['360 Studios', 'Montalvo Media', 'WarTime Raven Productions']",['United States of America'],0,0,Nicholas Nathaniel
999639,,10000,['National Film Organization'],['Syrian Arab Republic'],0,23,Nour Khair Alanam
999672,,0,['Lumen Cine'],['Argentina'],0,0,Romina Ricci
999677,tt12699576,0,['Swede Films'],['United States of America'],0,90,John Isberg
999679,,0,['Channel 5'],['United Kingdom'],0,90,
999681,tt14107778,0,[],[],0,84,Patrick Rea
999688,,0,['Reef Squad Entertainment'],[],0,2,Curtis Comma
999693,,0,[],[],0,118,Haruo Inoue
999696,tt21042588,0,"['AVA Productions', '24 Frames Factory']",['India'],0,122,Eeshaan Surya
999718,,0,[],[],0,11,Joseph Bernard
999721,,0,[],[],0,0,
999722,tt21933110,0,[],['Germany'],0,101,Andy Fetscher
999726,,0,[],[],0,0,
999728,,0,[],[],0,0,
999729,,0,[],[],0,0,
999730,,0,[],[],0,0,
999732,,0,[],[],0,0,
999735,tt16976670,0,[],[],0,75,David R. Williams
999747,tt21235444,0,['Cinepro'],['Egypt'],0,95,Mohamed Baraka
999754,tt14022718,0,['Haïku Films'],['France'],0,22,Claudia Lopez Lucia
999755,tt20198256,0,"['Farid Nawaz Productions', 'Eveready Pictures']",['Pakistan'],0,118,Yasir Nawaz
999768,tt19860058,0,[],['United States of America'],0,0,J. Michael Long
999781,,0,['Szkoła Filmowa im. Krzysztofa Kieślowskiego Uniwersytetu Śląskiego'],['Poland'],0,13,Joanna Różniak
999783,tt21262798,0,[],['Brazil'],0,7,Ariel Gustsack
999784,,0,['Warszawska Szkoła Filmowa'],['Poland'],0,30,Ivan Krupenikov
999789,tt21407956,0,['ARTE'],['France'],0,57,Anne Richard
999792,,0,[],[],0,0,
999794,,0,[],[],0,0,
999796,,0,[],[],0,0,
999797,,0,[],[],0,0,
999804,,0,[],[],0,0,
999812,tt16374130,0,"['Entertainment Lab', 'PassionFlix']",['United States of America'],0,91,Louise Alston
